StateProvinceID,StateProvinceCode,IsOnlyStateProvinceFlag,StateProvinceName,TerritoryID,CountryRegionCode,CountryRegionName,StateProvinceRowGUID,StateProvinceModifiedDate
1,AB,false,Alberta,6,CA,Canada,{298C2880-AB1C-4982-A5AD-A36EB4BA0D34},2014-02-08T10:17:21.587Z
2,AK,false,Alaska,1,US,United States,{5B7B8462-A888-4E0B-A3E1-7278F8AF107E},2014-02-08T10:17:21.587Z
3,AL,false,Alabama,5,US,United States,{41B328BE-21AE-45D0-841D-6F8DD71CE626},2014-02-08T10:17:21.587Z
4,AR,false,Arkansas,3,US,United States,{54656A80-06F2-4C70-BA10-247179FC246E},2014-02-08T10:17:21.587Z
5,AS,true,American Samoa,1,AS,American Samoa,{255D15E1-9F6E-4CF8-9E5F-6B3858AD9B6A},2014-02-08T10:17:21.587Z
6,AZ,false,Arizona,4,US,United States,{FB8BE18E-F441-44F0-A4A9-1D0F204CB701},2014-02-08T10:17:21.587Z
7,BC,false,British Columbia,6,CA,Canada,{D27FCC6E-BB99-438B-BA86-285CEEB2FA53},2014-02-08T10:17:21.587Z
8,BY,false,Bayern,8,DE,Germany,{D54E5000-A0DA-46D1-86B0-B8FE16C9F781},2014-02-08T10:17:21.587Z
9,CA,false,California,4,US,United States,{3B2FF23C-1C75-40AE-9093-F4EB42263F4E},2014-02-08T10:17:21.587Z
10,CO,false,Colorado,3,US,United States,{292DF595-7D3C-41FB-A040-7C184D379FCE},2014-02-08T10:17:21.587Z
11,CT,false,Connecticut,2,US,United States,{1E7BB47A-E16B-4968-86FA-45AF0211FA84},2014-02-08T10:17:21.587Z
12,DC,false,District of Columbia,2,US,United States,{A1F3C57E-85B3-41E3-88E8-07244CF087DD},2014-02-08T10:17:21.587Z
13,DE,false,Delaware,2,US,United States,{7A11AB1D-77C0-4021-9140-8E81F105618E},2014-02-08T10:17:21.587Z
14,ENG,true,England,10,GB,United Kingdom,{3E3CB3F8-44B9-44D9-A1C3-CBFB11E0A7DA},2014-02-08T10:17:21.587Z
15,FL,false,Florida,5,US,United States,{EE8BA90D-B2C3-418E-93DF-20E33F095959},2014-02-08T10:17:21.587Z
16,FM,true,Micronesia,9,FM,Micronesia,{3202DA35-AED4-40E2-9EC4-27C17F420170},2014-02-08T10:17:21.587Z
17,GA,false,Georgia,5,US,United States,{A6CA20D1-31AC-4771-8994-93DBBDCCE360},2014-02-08T10:17:21.587Z
18,GU,false,Guam,4,US,United States,{92B5A04E-26EC-4EDB-8D14-E72E29B14411},2014-02-08T10:17:21.587Z
19,HE,false,Hessen,8,DE,Germany,{834FC3DF-B60D-4F94-95BD-AEF8A9FB74E8},2014-02-08T10:17:21.587Z
20,HH,false,Hamburg,8,DE,Germany,{1CC5A134-60D7-40C2-9269-CDA494214ABF},2014-02-08T10:17:21.587Z
21,HI,false,Hawaii,1,US,United States,{09CDCCDC-B4B8-44EA-B04F-6EF521E3E720},2014-02-08T10:17:21.587Z
22,IA,false,Iowa,3,US,United States,{956A6C02-7D2F-4C9D-B275-8D2C0EF8FD83},2014-02-08T10:17:21.587Z
23,ID,false,Idaho,1,US,United States,{628E983A-33C7-4CB4-867F-274EF12B3597},2014-02-08T10:17:21.587Z
24,IL,false,Illinois,3,US,United States,{1F9120CF-683A-4132-A12C-98997FADEB26},2014-02-08T10:17:21.587Z
25,IN,false,Indiana,2,US,United States,{91F21EF0-C528-4310-BB29-6BA45AE75A17},2014-02-08T10:17:21.587Z
26,KS,false,Kansas,3,US,United States,{4ECCC236-56E8-4FF7-B510-BF50E0966046},2014-02-08T10:17:21.587Z
27,KY,false,Kentucky,5,US,United States,{810918BC-45DC-4E01-8544-B322A05EC94E},2014-02-08T10:17:21.587Z
28,LA,false,Louisiana,3,US,United States,{4E2BC5A5-0C3E-421B-BE18-5D79B4A7C0D0},2014-02-08T10:17:21.587Z
