SalesOrderID	SalesOrderDetailID	CarrierTrackingNumber	OrderQty	ProductID	SpecialOfferID	UnitPrice	UnitPriceDiscount	LineTotal	rowguid	ModifiedDate
43659	1	4911-403C-98	1	776	1	2024
43659	2	4911-403C-98	3	777	1	2024
43659	3	4911-403C-98	1	778	1	2024
43659	4	4911-403C-98	1	771	1	2039
43659	5	4911-403C-98	1	772	1	2039
43659	6	4911-403C-98	2	773	1	2039
43659	7	4911-403C-98	1	774	1	2039
43659	8	4911-403C-98	3	714	1	28
43659	9	4911-403C-98	1	716	1	28
43659	10	4911-403C-98	6	709	1	5
43659	11	4911-403C-98	2	712	1	5
43659	12	4911-403C-98	4	711	1	20
43660	13	6431-4D57-83	1	762	1	419
43660	14	6431-4D57-83	1	758	1	874
43661	15	4E0A-4F89-AE	1	745	1	809
43661	16	4E0A-4F89-AE	1	743	1	714
43661	17	4E0A-4F89-AE	2	747	1	714
43661	18	4E0A-4F89-AE	4	712	1	5
43661	19	4E0A-4F89-AE	4	715	1	28
43661	20	4E0A-4F89-AE	2	742	1	722
43661	21	4E0A-4F89-AE	3	775	1	2024
43661	22	4E0A-4F89-AE	2	778	1	2024
43661	23	4E0A-4F89-AE	2	711	1	20
43661	24	4E0A-4F89-AE	2	741	1	818
43661	25	4E0A-4F89-AE	4	776	1	2024
43661	26	4E0A-4F89-AE	2	773	1	2039
43661	27	4E0A-4F89-AE	2	716	1	28
43661	28	4E0A-4F89-AE	2	777	1	2024
43661	29	4E0A-4F89-AE	5	708	1	20
43662	30	2E53-4802-85	3	764	1	419
43662	31	2E53-4802-85	5	770	1	419
43662	32	2E53-4802-85	2	730	1	183
43662	33	2E53-4802-85	4	754	1	874
43662	34	2E53-4802-85	3	725	1	183
43662	35	2E53-4802-85	5	762	1	419
43662	36	2E53-4802-85	3	765	1	419
43662	37	2E53-4802-85	2	768	1	419
43662	38	2E53-4802-85	1	753	1	2146
43662	39	2E53-4802-85	1	756	1	874
43662	40	2E53-4802-85	3	763	1	419
43662	41	2E53-4802-85	1	732	1	356
43662	42	2E53-4802-85	6	758	1	874
43662	43	2E53-4802-85	1	729	1	183
43662	44	2E53-4802-85	3	722	1	178
43662	45	2E53-4802-85	1	749	1	2146
43662	46	2E53-4802-85	3	760	1	419
43662	47	2E53-4802-85	1	726	1	183
43662	48	2E53-4802-85	1	733	1	356
43662	49	2E53-4802-85	1	738	1	178
43662	50	2E53-4802-85	3	766	1	419
43662	51	2E53-4802-85	1	755	1	874
43663	52	1E90-4FBF-B6	1	760	1	419
43664	53	2F44-4BA1-BB	1	772	1	2039
43664	54	2F44-4BA1-BB	4	775	1	2024
43664	55	2F44-4BA1-BB	1	714	1	28
43664	56	2F44-4BA1-BB	1	716	1	28
43664	57	2F44-4BA1-BB	2	777	1	2024
43664	58	2F44-4BA1-BB	3	771	1	2039
43664	59	2F44-4BA1-BB	1	773	1	2039
43664	60	2F44-4BA1-BB	1	778	1	2024
43665	61	19F0-4638-8E	2	711	1	20
43665	62	19F0-4638-8E	1	773	1	2039
43665	63	19F0-4638-8E	1	707	1	20
43665	64	19F0-4638-8E	2	715	1	28
43665	65	19F0-4638-8E	2	777	1	2024
43665	66	19F0-4638-8E	2	712	1	5
43665	67	19F0-4638-8E	2	775	1	2024
43665	68	19F0-4638-8E	1	778	1	2024
43665	69	19F0-4638-8E	6	709	1	5
43665	70	19F0-4638-8E	1	776	1	2024
43666	71	D46A-40CA-8D	1	764	1	419
