WeightUnitMeasureCode,SizeUnitMeasureCode,ProductSubcategoryID,ProductID,ProductName,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,Weight,DaysToManufacture,ProductLine,Class,Style,SellStartDate,SellEndDate,DiscontinuedDate,ProductRowGUID,ProductModifiedDate,ProductSubcategoryName,ProductCategoryID,ProductCategoryName,ProductSubcategoryModifiedDateForJoin,SizeUnitMeasureName,WeightUnitMeasureName
WeightUnitMeasureCode,SizeUnitMeasureCode,ProductSubcategoryID,,Name,ProductNumber,,,Color,,,,,Size,,,ProductLine,Class,Style,,SellEndDate,DiscontinuedDate,rowguid,,,,,,,
,,,1,Adjustable Race,AR-5381,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{694215B7-08F7-4C0D-ACB1-D734BA44C0C8},2014-02-08T10:01:36.827Z,,,,,,
,,,2,Bearing Ball,BA-8327,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{58AE3C20-4F3A-4749-A7D4-D568806CC537},2014-02-08T10:01:36.827Z,,,,,,
,,,3,BB Ball Bearing,BE-2349,true,false,,800,600,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{9C21AED2-5BFA-4F18-BCB8-F11638DC2E4E},2014-02-08T10:01:36.827Z,,,,,,
,,,4,Headset Ball Bearings,BE-2908,false,false,,800,600,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{ECFED6CB-51FF-49B5-B06C-7D8AC834DB8B},2014-02-08T10:01:36.827Z,,,,,,
,,,316,Blade,BL-2036,true,false,,800,600,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{E73E9750-603B-4131-89F5-3DD15ED5FF80},2014-02-08T10:01:36.827Z,,,,,,
,,,317,LL Crankarm,CA-5965,false,false,Black,500,375,0,0,,,0,,L,,2008-04-30T00:00:00.000Z,,,{3C9D10B7-A6B2-4774-9963-C19DCEE72FEA},2014-02-08T10:01:36.827Z,,,,,,
,,,318,ML Crankarm,CA-6738,false,false,Black,500,375,0,0,,,0,,M,,2008-04-30T00:00:00.000Z,,,{EABB9A92-FA07-4EAB-8955-F0517B4A4CA7},2014-02-08T10:01:36.827Z,,,,,,
,,,319,HL Crankarm,CA-7457,false,false,Black,500,375,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{7D3FD384-4F29-484B-86FA-4206E276FE58},2014-02-08T10:01:36.827Z,,,,,,
,,,320,Chainring Bolts,CB-2903,false,false,Silver,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{7BE38E48-B7D6-4486-888E-F53C26735101},2014-02-08T10:01:36.827Z,,,,,,
,,,321,Chainring Nut,CN-6137,false,false,Silver,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{3314B1D7-EF69-4431-B6DD-DC75268BD5DF},2014-02-08T10:01:36.827Z,,,,,,
,,,322,Chainring,CR-7833,false,false,Black,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{F0AC2C4D-1A1F-4E3C-B4D9-68AEA0EC1CE4},2014-02-08T10:01:36.827Z,,,,,,
,,,323,Crown Race,CR-9981,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{51A32CA6-65A1-4C31-AF2B-D9E4F5D631D4},2014-02-08T10:01:36.827Z,,,,,,
,,,324,Chain Stays,CS-2812,true,false,,1000,750,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{FE0678ED-AEF2-4C58-A450-8151CC24DDD8},2014-02-08T10:01:36.827Z,,,,,,
,,,325,Decal 1,DC-8732,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{05CE123C-A402-478E-AE9B-75D7727AEAAD},2014-02-08T10:01:36.827Z,,,,,,
,,,326,Decal 2,DC-9824,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{A56851F9-1CD7-4E2F-8779-2E773E1B5209},2014-02-08T10:01:36.827Z,,,,,,
,,,327,Down Tube,DT-2377,true,false,,800,600,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{1DAD47DD-E259-42B8-B8B4-15A0B7D21B2F},2014-02-08T10:01:36.827Z,,,,,,
,,,328,Mountain End Caps,EC-M092,true,false,,1000,750,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{6070B1EA-59B7-4F8B-950F-2BE07D00449D},2014-02-08T10:01:36.827Z,,,,,,
,,,329,Road End Caps,EC-R098,true,false,,1000,750,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{88399D13-719E-4545-81D6-F0650F372FA2},2014-02-08T10:01:36.827Z,,,,,,
,,,330,Touring End Caps,EC-T209,true,false,,1000,750,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{6903CE24-D0CE-4191-9198-4231DE37A929},2014-02-08T10:01:36.827Z,,,,,,
,,,331,Fork End,FE-3760,true,false,,800,600,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{C91D602E-DA52-43D2-BD7E-EB110A9392B9},2014-02-08T10:01:36.827Z,,,,,,
,,,332,Freewheel,FH-2981,false,false,Silver,500,375,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{D864879A-E8B1-4F7B-BAFA-1F136089C2C8},2014-02-08T10:01:36.827Z,,,,,,
,,,341,Flat Washer 1,FW-1000,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{A3F2FA3A-22E1-43D8-A131-A9B89C32D8EA},2014-02-08T10:01:36.827Z,,,,,,
,,,342,Flat Washer 6,FW-1200,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{331ADDEC-E9B9-4A7E-9324-42069C2DCDC4},2014-02-08T10:01:36.827Z,,,,,,
,,,343,Flat Washer 2,FW-1400,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{84A3473E-AE26-4A21-81B9-60BB418A79B2},2014-02-08T10:01:36.827Z,,,,,,
,,,344,Flat Washer 9,FW-3400,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{0AE4CE60-5242-48F5-ADA1-3013FF45F969},2014-02-08T10:01:36.827Z,,,,,,
,,,345,Flat Washer 4,FW-3800,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{2C1C58B4-234C-4B3A-8C8E-84524AC05EEA},2014-02-08T10:01:36.827Z,,,,,,
,,,346,Flat Washer 3,FW-5160,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{590C2C3F-A8B6-42B5-9412-D655E37F0EAE},2014-02-08T10:01:36.827Z,,,,,,
,,,347,Flat Washer 8,FW-5800,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{1B73F5FE-AB85-49FC-99AD-0500CEBDA91D},2014-02-08T10:01:36.827Z,,,,,,
,,,348,Flat Washer 5,FW-7160,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{D182CF18-4DDF-429B-A0DF-DE1CFC92622D},2014-02-08T10:01:36.827Z,,,,,,
,,,349,Flat Washer 7,FW-9160,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{7E55F64D-EA3C-45FF-BE72-F7F7B9D61A79},2014-02-08T10:01:36.827Z,,,,,,
,,,350,Fork Crown,FC-3654,true,false,,800,600,0,0,,,1,,,,2008-04-30T00:00:00.000Z,,,{1CBFA85B-5C9B-4B58-9C17-95238215D926},2014-02-08T10:01:36.827Z,,,,,,
,,,351,Front Derailleur Cage,FC-3982,false,false,Silver,800,600,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{01C901E3-4323-48ED-AB9E-9BFDA28BDEF6},2014-02-08T10:01:36.827Z,,,,,,
,,,352,Front Derailleur Linkage,FL-2301,false,false,Silver,800,600,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{88ED2E08-E775-4915-B506-831600B773FD},2014-02-08T10:01:36.827Z,,,,,,
,,,355,Guide Pulley,GP-0982,false,false,,800,600,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{6A89205B-90C3-4997-8C63-BC6A5EBC752D},2014-02-08T10:01:36.827Z,,,,,,
,,,356,LL Grip Tape,GT-0820,false,false,,800,600,0,0,,,0,,L,,2008-04-30T00:00:00.000Z,,,{32C82181-1969-4660-AE04-A02D51994EC1},2014-02-08T10:01:36.827Z,,,,,,
,,,357,ML Grip Tape,GT-1209,false,false,,800,600,0,0,,,0,,M,,2008-04-30T00:00:00.000Z,,,{09343E22-2494-4279-9F32-5D961A0FBFEA},2014-02-08T10:01:36.827Z,,,,,,
,,,358,HL Grip Tape,GT-2908,false,false,,800,600,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{8E5B2BF7-81DD-4454-B75E-D9AE2A6FBD26},2014-02-08T10:01:36.827Z,,,,,,
,,,359,Thin-Jam Hex Nut 9,HJ-1213,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{A63AFF3C-4143-4016-BC99-D3F80EC1ADE5},2014-02-08T10:01:36.827Z,,,,,,
,,,360,Thin-Jam Hex Nut 10,HJ-1220,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{A1AE0C6D-92A5-4FDA-B33B-1301E83EFE5B},2014-02-08T10:01:36.827Z,,,,,,
,,,361,Thin-Jam Hex Nut 1,HJ-1420,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{E33E8C4C-282A-4D1F-91E7-E9969CF7134F},2014-02-08T10:01:36.827Z,,,,,,
,,,362,Thin-Jam Hex Nut 2,HJ-1428,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{A992684F-4642-4856-A817-2C0740AE8C55},2014-02-08T10:01:36.827Z,,,,,,
,,,363,Thin-Jam Hex Nut 15,HJ-3410,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{B9D9A30D-CB07-422D-A312-F0535575337E},2014-02-08T10:01:36.827Z,,,,,,
,,,364,Thin-Jam Hex Nut 16,HJ-3416,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{0EC8F653-24C9-41B6-86F5-39C1789DB580},2014-02-08T10:01:36.827Z,,,,,,
,,,365,Thin-Jam Hex Nut 5,HJ-3816,false,false,,1000,750,0,0,,,0,,,,2008-04-30T00:00:00.000Z,,,{94506C9D-5991-46A7-82EA-00E05D8D9B9C},2014-02-08T10:01:36.827Z,,,,,,
