Date,DateKey,Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,DayName,MonthName,IsWeekend
2009-03-24,20090324,2009,3,24,3,1,13,Tuesday,March,false
2009-03-25,20090325,2009,3,25,4,1,13,Wednesday,March,false
2009-03-26,20090326,2009,3,26,5,1,13,Thursday,March,false
2009-03-27,20090327,2009,3,27,6,1,13,Friday,March,false
2009-03-28,20090328,2009,3,28,7,1,13,Saturday,March,true
2009-03-29,20090329,2009,3,29,1,1,13,Sunday,March,true
2009-03-30,20090330,2009,3,30,2,1,14,Monday,March,false
2009-03-31,20090331,2009,3,31,3,1,14,Tuesday,March,false
2009-04-01,20090401,2009,4,1,4,2,14,Wednesday,April,false
2009-04-02,20090402,2009,4,2,5,2,14,Thursday,April,false
2009-04-03,20090403,2009,4,3,6,2,14,Friday,April,false
2009-04-04,20090404,2009,4,4,7,2,14,Saturday,April,true
2009-04-05,20090405,2009,4,5,1,2,14,Sunday,April,true
2009-04-06,20090406,2009,4,6,2,2,15,Monday,April,false
2009-04-07,20090407,2009,4,7,3,2,15,Tuesday,April,false
2009-04-08,20090408,2009,4,8,4,2,15,Wednesday,April,false
2009-04-09,20090409,2009,4,9,5,2,15,Thursday,April,false
2009-04-10,20090410,2009,4,10,6,2,15,Friday,April,false
2009-04-11,20090411,2009,4,11,7,2,15,Saturday,April,true
2009-04-12,20090412,2009,4,12,1,2,15,Sunday,April,true
2009-04-13,20090413,2009,4,13,2,2,16,Monday,April,false
2009-04-14,20090414,2009,4,14,3,2,16,Tuesday,April,false
2009-04-15,20090415,2009,4,15,4,2,16,Wednesday,April,false
2009-04-16,20090416,2009,4,16,5,2,16,Thursday,April,false
2009-04-17,20090417,2009,4,17,6,2,16,Friday,April,false
2009-04-18,20090418,2009,4,18,7,2,16,Saturday,April,true
2009-04-19,20090419,2009,4,19,1,2,16,Sunday,April,true
2009-04-20,20090420,2009,4,20,2,2,17,Monday,April,false
2009-04-21,20090421,2009,4,21,3,2,17,Tuesday,April,false
2009-04-22,20090422,2009,4,22,4,2,17,Wednesday,April,false
2009-04-23,20090423,2009,4,23,5,2,17,Thursday,April,false
2009-04-24,20090424,2009,4,24,6,2,17,Friday,April,false
2009-04-25,20090425,2009,4,25,7,2,17,Saturday,April,true
