Date,DateKey,Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,DayName,MonthName,IsWeekend
2007-07-30,20070730,2007,7,30,2,3,31,Monday,July,false
2007-07-31,20070731,2007,7,31,3,3,31,Tuesday,July,false
2007-08-01,20070801,2007,8,1,4,3,31,Wednesday,August,false
2007-08-02,20070802,2007,8,2,5,3,31,Thursday,August,false
2007-08-03,20070803,2007,8,3,6,3,31,Friday,August,false
2007-08-04,20070804,2007,8,4,7,3,31,Saturday,August,true
2007-08-05,20070805,2007,8,5,1,3,31,Sunday,August,true
2007-08-06,20070806,2007,8,6,2,3,32,Monday,August,false
2007-08-07,20070807,2007,8,7,3,3,32,Tuesday,August,false
2007-08-08,20070808,2007,8,8,4,3,32,Wednesday,August,false
2007-08-09,20070809,2007,8,9,5,3,32,Thursday,August,false
2007-08-10,20070810,2007,8,10,6,3,32,Friday,August,false
2007-08-11,20070811,2007,8,11,7,3,32,Saturday,August,true
2007-08-12,20070812,2007,8,12,1,3,32,Sunday,August,true
2007-08-13,20070813,2007,8,13,2,3,33,Monday,August,false
2007-08-14,20070814,2007,8,14,3,3,33,Tuesday,August,false
2007-08-15,20070815,2007,8,15,4,3,33,Wednesday,August,false
2007-08-16,20070816,2007,8,16,5,3,33,Thursday,August,false
2007-08-17,20070817,2007,8,17,6,3,33,Friday,August,false
2007-08-18,20070818,2007,8,18,7,3,33,Saturday,August,true
2007-08-19,20070819,2007,8,19,1,3,33,Sunday,August,true
2007-08-20,20070820,2007,8,20,2,3,34,Monday,August,false
2007-08-21,20070821,2007,8,21,3,3,34,Tuesday,August,false
2007-08-22,20070822,2007,8,22,4,3,34,Wednesday,August,false
2007-08-23,20070823,2007,8,23,5,3,34,Thursday,August,false
2007-08-24,20070824,2007,8,24,6,3,34,Friday,August,false
2007-08-25,20070825,2007,8,25,7,3,34,Saturday,August,true
2007-08-26,20070826,2007,8,26,1,3,34,Sunday,August,true
2007-08-27,20070827,2007,8,27,2,3,35,Monday,August,false
2007-08-28,20070828,2007,8,28,3,3,35,Tuesday,August,false
2007-08-29,20070829,2007,8,29,4,3,35,Wednesday,August,false
2007-08-30,20070830,2007,8,30,5,3,35,Thursday,August,false
2007-08-31,20070831,2007,8,31,6,3,35,Friday,August,false
2007-09-01,20070901,2007,9,1,7,3,35,Saturday,September,true
2007-09-02,20070902,2007,9,2,1,3,35,Sunday,September,true
2007-09-03,20070903,2007,9,3,2,3,36,Monday,September,false
2007-09-04,20070904,2007,9,4,3,3,36,Tuesday,September,false
2007-09-05,20070905,2007,9,5,4,3,36,Wednesday,September,false
2007-09-06,20070906,2007,9,6,5,3,36,Thursday,September,false
2007-09-07,20070907,2007,9,7,6,3,36,Friday,September,false
2007-09-08,20070908,2007,9,8,7,3,36,Saturday,September,true
2007-09-09,20070909,2007,9,9,1,3,36,Sunday,September,true
2007-09-10,20070910,2007,9,10,2,3,37,Monday,September,false
2007-09-11,20070911,2007,9,11,3,3,37,Tuesday,September,false
2007-09-12,20070912,2007,9,12,4,3,37,Wednesday,September,false
2007-09-13,20070913,2007,9,13,5,3,37,Thursday,September,false
2007-09-14,20070914,2007,9,14,6,3,37,Friday,September,false
2007-09-15,20070915,2007,9,15,7,3,37,Saturday,September,true
2007-09-16,20070916,2007,9,16,1,3,37,Sunday,September,true
2007-09-17,20070917,2007,9,17,2,3,38,Monday,September,false
2007-09-18,20070918,2007,9,18,3,3,38,Tuesday,September,false
2007-09-19,20070919,2007,9,19,4,3,38,Wednesday,September,false
2007-09-20,20070920,2007,9,20,5,3,38,Thursday,September,false
2007-09-21,20070921,2007,9,21,6,3,38,Friday,September,false
2007-09-22,20070922,2007,9,22,7,3,38,Saturday,September,true
2007-09-23,20070923,2007,9,23,1,3,38,Sunday,September,true
2007-09-24,20070924,2007,9,24,2,3,39,Monday,September,false
2007-09-25,20070925,2007,9,25,3,3,39,Tuesday,September,false
2007-09-26,20070926,2007,9,26,4,3,39,Wednesday,September,false
2007-09-27,20070927,2007,9,27,5,3,39,Thursday,September,false
2007-09-28,20070928,2007,9,28,6,3,39,Friday,September,false
2007-09-29,20070929,2007,9,29,7,3,39,Saturday,September,true
2007-09-30,20070930,2007,9,30,1,3,39,Sunday,September,true
2007-10-01,20071001,2007,10,1,2,4,40,Monday,October,false
2007-10-02,20071002,2007,10,2,3,4,40,Tuesday,October,false
2007-10-03,20071003,2007,10,3,4,4,40,Wednesday,October,false
2007-10-04,20071004,2007,10,4,5,4,40,Thursday,October,false
2007-10-05,20071005,2007,10,5,6,4,40,Friday,October,false
2007-10-06,20071006,2007,10,6,7,4,40,Saturday,October,true
2007-10-07,20071007,2007,10,7,1,4,40,Sunday,October,true
2007-10-08,20071008,2007,10,8,2,4,41,Monday,October,false
2007-10-09,20071009,2007,10,9,3,4,41,Tuesday,October,false
2007-10-10,20071010,2007,10,10,4,4,41,Wednesday,October,false
2007-10-11,20071011,2007,10,11,5,4,41,Thursday,October,false
2007-10-12,20071012,2007,10,12,6,4,41,Friday,October,false
2007-10-13,20071013,2007,10,13,7,4,41,Saturday,October,true
2007-10-14,20071014,2007,10,14,1,4,41,Sunday,October,true
2007-10-15,20071015,2007,10,15,2,4,42,Monday,October,false
2007-10-16,20071016,2007,10,16,3,4,42,Tuesday,October,false
2007-10-17,20071017,2007,10,17,4,4,42,Wednesday,October,false
2007-10-18,20071018,2007,10,18,5,4,42,Thursday,October,false
2007-10-19,20071019,2007,10,19,6,4,42,Friday,October,false
2007-10-20,20071020,2007,10,20,7,4,42,Saturday,October,true
2007-10-21,20071021,2007,10,21,1,4,42,Sunday,October,true
2007-10-22,20071022,2007,10,22,2,4,43,Monday,October,false
2007-10-23,20071023,2007,10,23,3,4,43,Tuesday,October,false
2007-10-24,20071024,2007,10,24,4,4,43,Wednesday,October,false
2007-10-25,20071025,2007,10,25,5,4,43,Thursday,October,false
2007-10-26,20071026,2007,10,26,6,4,43,Friday,October,false
2007-10-27,20071027,2007,10,27,7,4,43,Saturday,October,true
2007-10-28,20071028,2007,10,28,1,4,43,Sunday,October,true
2007-10-29,20071029,2007,10,29,2,4,44,Monday,October,false
2007-10-30,20071030,2007,10,30,3,4,44,Tuesday,October,false
2007-10-31,20071031,2007,10,31,4,4,44,Wednesday,October,false
2007-11-01,20071101,2007,11,1,5,4,44,Thursday,November,false
2007-11-02,20071102,2007,11,2,6,4,44,Friday,November,false
2007-11-03,20071103,2007,11,3,7,4,44,Saturday,November,true
2007-11-04,20071104,2007,11,4,1,4,44,Sunday,November,true
2007-11-05,20071105,2007,11,5,2,4,45,Monday,November,false
2007-11-06,20071106,2007,11,6,3,4,45,Tuesday,November,false
2007-11-07,20071107,2007,11,7,4,4,45,Wednesday,November,false
2007-11-08,20071108,2007,11,8,5,4,45,Thursday,November,false
2007-11-09,20071109,2007,11,9,6,4,45,Friday,November,false
2007-11-10,20071110,2007,11,10,7,4,45,Saturday,November,true
2007-11-11,20071111,2007,11,11,1,4,45,Sunday,November,true
2007-11-12,20071112,2007,11,12,2,4,46,Monday,November,false
2007-11-13,20071113,2007,11,13,3,4,46,Tuesday,November,false
2007-11-14,20071114,2007,11,14,4,4,46,Wednesday,November,false
2007-11-15,20071115,2007,11,15,5,4,46,Thursday,November,false
2007-11-16,20071116,2007,11,16,6,4,46,Friday,November,false
2007-11-17,20071117,2007,11,17,7,4,46,Saturday,November,true
2007-11-18,20071118,2007,11,18,1,4,46,Sunday,November,true
2007-11-19,20071119,2007,11,19,2,4,47,Monday,November,false
2007-11-20,20071120,2007,11,20,3,4,47,Tuesday,November,false
2007-11-21,20071121,2007,11,21,4,4,47,Wednesday,November,false
2007-11-22,20071122,2007,11,22,5,4,47,Thursday,November,false
2007-11-23,20071123,2007,11,23,6,4,47,Friday,November,false
2007-11-24,20071124,2007,11,24,7,4,47,Saturday,November,true
2007-11-25,20071125,2007,11,25,1,4,47,Sunday,November,true
2007-11-26,20071126,2007,11,26,2,4,48,Monday,November,false
2007-11-27,20071127,2007,11,27,3,4,48,Tuesday,November,false
2007-11-28,20071128,2007,11,28,4,4,48,Wednesday,November,false
2007-11-29,20071129,2007,11,29,5,4,48,Thursday,November,false
2007-11-30,20071130,2007,11,30,6,4,48,Friday,November,false
2007-12-01,20071201,2007,12,1,7,4,48,Saturday,December,true
2007-12-02,20071202,2007,12,2,1,4,48,Sunday,December,true
2007-12-03,20071203,2007,12,3,2,4,49,Monday,December,false
2007-12-04,20071204,2007,12,4,3,4,49,Tuesday,December,false
2007-12-05,20071205,2007,12,5,4,4,49,Wednesday,December,false
2007-12-06,20071206,2007,12,6,5,4,49,Thursday,December,false
2007-12-07,20071207,2007,12,7,6,4,49,Friday,December,false
2007-12-08,20071208,2007,12,8,7,4,49,Saturday,December,true
2007-12-09,20071209,2007,12,9,1,4,49,Sunday,December,true
2007-12-10,20071210,2007,12,10,2,4,50,Monday,December,false
2007-12-11,20071211,2007,12,11,3,4,50,Tuesday,December,false
2007-12-12,20071212,2007,12,12,4,4,50,Wednesday,December,false
2007-12-13,20071213,2007,12,13,5,4,50,Thursday,December,false
2007-12-14,20071214,2007,12,14,6,4,50,Friday,December,false
2007-12-15,20071215,2007,12,15,7,4,50,Saturday,December,true
2007-12-16,20071216,2007,12,16,1,4,50,Sunday,December,true
2007-12-17,20071217,2007,12,17,2,4,51,Monday,December,false
2007-12-18,20071218,2007,12,18,3,4,51,Tuesday,December,false
2007-12-19,20071219,2007,12,19,4,4,51,Wednesday,December,false
2007-12-20,20071220,2007,12,20,5,4,51,Thursday,December,false
2007-12-21,20071221,2007,12,21,6,4,51,Friday,December,false
2007-12-22,20071222,2007,12,22,7,4,51,Saturday,December,true
2007-12-23,20071223,2007,12,23,1,4,51,Sunday,December,true
2007-12-24,20071224,2007,12,24,2,4,52,Monday,December,false
2007-12-25,20071225,2007,12,25,3,4,52,Tuesday,December,false
2007-12-26,20071226,2007,12,26,4,4,52,Wednesday,December,false
2007-12-27,20071227,2007,12,27,5,4,52,Thursday,December,false
2007-12-28,20071228,2007,12,28,6,4,52,Friday,December,false
2007-12-29,20071229,2007,12,29,7,4,52,Saturday,December,true
2007-12-30,20071230,2007,12,30,1,4,52,Sunday,December,true
2007-12-31,20071231,2007,12,31,2,4,1,Monday,December,false
2008-01-01,20080101,2008,1,1,3,1,1,Tuesday,January,false
2008-01-02,20080102,2008,1,2,4,1,1,Wednesday,January,false
2008-01-03,20080103,2008,1,3,5,1,1,Thursday,January,false
