Date,DateKey,Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,DayName,MonthName,IsWeekend
2011-06-06,20110606,2011,6,6,2,2,23,Monday,June,false
2011-06-07,20110607,2011,6,7,3,2,23,Tuesday,June,false
2011-06-08,20110608,2011,6,8,4,2,23,Wednesday,June,false
2011-06-09,20110609,2011,6,9,5,2,23,Thursday,June,false
2011-06-10,20110610,2011,6,10,6,2,23,Friday,June,false
2011-06-11,20110611,2011,6,11,7,2,23,Saturday,June,true
2011-06-12,20110612,2011,6,12,1,2,23,Sunday,June,true
2011-06-13,20110613,2011,6,13,2,2,24,Monday,June,false
2011-06-14,20110614,2011,6,14,3,2,24,Tuesday,June,false
2011-06-15,20110615,2011,6,15,4,2,24,Wednesday,June,false
2011-06-16,20110616,2011,6,16,5,2,24,Thursday,June,false
2011-06-17,20110617,2011,6,17,6,2,24,Friday,June,false
2011-06-18,20110618,2011,6,18,7,2,24,Saturday,June,true
2011-06-19,20110619,2011,6,19,1,2,24,Sunday,June,true
2011-06-20,20110620,2011,6,20,2,2,25,Monday,June,false
2011-06-21,20110621,2011,6,21,3,2,25,Tuesday,June,false
2011-06-22,20110622,2011,6,22,4,2,25,Wednesday,June,false
2011-06-23,20110623,2011,6,23,5,2,25,Thursday,June,false
2011-06-24,20110624,2011,6,24,6,2,25,Friday,June,false
2011-06-25,20110625,2011,6,25,7,2,25,Saturday,June,true
2011-06-26,20110626,2011,6,26,1,2,25,Sunday,June,true
2011-06-27,20110627,2011,6,27,2,2,26,Monday,June,false
2011-06-28,20110628,2011,6,28,3,2,26,Tuesday,June,false
2011-06-29,20110629,2011,6,29,4,2,26,Wednesday,June,false
2011-06-30,20110630,2011,6,30,5,2,26,Thursday,June,false
2011-07-01,20110701,2011,7,1,6,3,26,Friday,July,false
2011-07-02,20110702,2011,7,2,7,3,26,Saturday,July,true
2011-07-03,20110703,2011,7,3,1,3,26,Sunday,July,true
2011-07-04,20110704,2011,7,4,2,3,27,Monday,July,false
2011-07-05,20110705,2011,7,5,3,3,27,Tuesday,July,false
2011-07-06,20110706,2011,7,6,4,3,27,Wednesday,July,false
2011-07-07,20110707,2011,7,7,5,3,27,Thursday,July,false
2011-07-08,20110708,2011,7,8,6,3,27,Friday,July,false
2011-07-09,20110709,2011,7,9,7,3,27,Saturday,July,true
2011-07-10,20110710,2011,7,10,1,3,27,Sunday,July,true
2011-07-11,20110711,2011,7,11,2,3,28,Monday,July,false
2011-07-12,20110712,2011,7,12,3,3,28,Tuesday,July,false
2011-07-13,20110713,2011,7,13,4,3,28,Wednesday,July,false
2011-07-14,20110714,2011,7,14,5,3,28,Thursday,July,false
2011-07-15,20110715,2011,7,15,6,3,28,Friday,July,false
2011-07-16,20110716,2011,7,16,7,3,28,Saturday,July,true
2011-07-17,20110717,2011,7,17,1,3,28,Sunday,July,true
2011-07-18,20110718,2011,7,18,2,3,29,Monday,July,false
2011-07-19,20110719,2011,7,19,3,3,29,Tuesday,July,false
2011-07-20,20110720,2011,7,20,4,3,29,Wednesday,July,false
2011-07-21,20110721,2011,7,21,5,3,29,Thursday,July,false
2011-07-22,20110722,2011,7,22,6,3,29,Friday,July,false
2011-07-23,20110723,2011,7,23,7,3,29,Saturday,July,true
2011-07-24,20110724,2011,7,24,1,3,29,Sunday,July,true
2011-07-25,20110725,2011,7,25,2,3,30,Monday,July,false
2011-07-26,20110726,2011,7,26,3,3,30,Tuesday,July,false
2011-07-27,20110727,2011,7,27,4,3,30,Wednesday,July,false
2011-07-28,20110728,2011,7,28,5,3,30,Thursday,July,false
2011-07-29,20110729,2011,7,29,6,3,30,Friday,July,false
2011-07-30,20110730,2011,7,30,7,3,30,Saturday,July,true
2011-07-31,20110731,2011,7,31,1,3,30,Sunday,July,true
2011-08-01,20110801,2011,8,1,2,3,31,Monday,August,false
2011-08-02,20110802,2011,8,2,3,3,31,Tuesday,August,false
2011-08-03,20110803,2011,8,3,4,3,31,Wednesday,August,false
2011-08-04,20110804,2011,8,4,5,3,31,Thursday,August,false
2011-08-05,20110805,2011,8,5,6,3,31,Friday,August,false
2011-08-06,20110806,2011,8,6,7,3,31,Saturday,August,true
2011-08-07,20110807,2011,8,7,1,3,31,Sunday,August,true
2011-08-08,20110808,2011,8,8,2,3,32,Monday,August,false
2011-08-09,20110809,2011,8,9,3,3,32,Tuesday,August,false
2011-08-10,20110810,2011,8,10,4,3,32,Wednesday,August,false
2011-08-11,20110811,2011,8,11,5,3,32,Thursday,August,false
2011-08-12,20110812,2011,8,12,6,3,32,Friday,August,false
2011-08-13,20110813,2011,8,13,7,3,32,Saturday,August,true
2011-08-14,20110814,2011,8,14,1,3,32,Sunday,August,true
2011-08-15,20110815,2011,8,15,2,3,33,Monday,August,false
2011-08-16,20110816,2011,8,16,3,3,33,Tuesday,August,false
2011-08-17,20110817,2011,8,17,4,3,33,Wednesday,August,false
2011-08-18,20110818,2011,8,18,5,3,33,Thursday,August,false
2011-08-19,20110819,2011,8,19,6,3,33,Friday,August,false
2011-08-20,20110820,2011,8,20,7,3,33,Saturday,August,true
2011-08-21,20110821,2011,8,21,1,3,33,Sunday,August,true
2011-08-22,20110822,2011,8,22,2,3,34,Monday,August,false
2011-08-23,20110823,2011,8,23,3,3,34,Tuesday,August,false
2011-08-24,20110824,2011,8,24,4,3,34,Wednesday,August,false
2011-08-25,20110825,2011,8,25,5,3,34,Thursday,August,false
2011-08-26,20110826,2011,8,26,6,3,34,Friday,August,false
2011-08-27,20110827,2011,8,27,7,3,34,Saturday,August,true
2011-08-28,20110828,2011,8,28,1,3,34,Sunday,August,true
2011-08-29,20110829,2011,8,29,2,3,35,Monday,August,false
2011-08-30,20110830,2011,8,30,3,3,35,Tuesday,August,false
2011-08-31,20110831,2011,8,31,4,3,35,Wednesday,August,false
2011-09-01,20110901,2011,9,1,5,3,35,Thursday,September,false
2011-09-02,20110902,2011,9,2,6,3,35,Friday,September,false
2011-09-03,20110903,2011,9,3,7,3,35,Saturday,September,true
