Date,DateKey,Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,DayName,MonthName,IsWeekend
2008-09-04,20080904,2008,9,4,5,3,36,Thursday,September,false
2008-09-05,20080905,2008,9,5,6,3,36,Friday,September,false
2008-09-06,20080906,2008,9,6,7,3,36,Saturday,September,true
2008-09-07,20080907,2008,9,7,1,3,36,Sunday,September,true
2008-09-08,20080908,2008,9,8,2,3,37,Monday,September,false
2008-09-09,20080909,2008,9,9,3,3,37,Tuesday,September,false
2008-09-10,20080910,2008,9,10,4,3,37,Wednesday,September,false
2008-09-11,20080911,2008,9,11,5,3,37,Thursday,September,false
2008-09-12,20080912,2008,9,12,6,3,37,Friday,September,false
2008-09-13,20080913,2008,9,13,7,3,37,Saturday,September,true
2008-09-14,20080914,2008,9,14,1,3,37,Sunday,September,true
2008-09-15,20080915,2008,9,15,2,3,38,Monday,September,false
2008-09-16,20080916,2008,9,16,3,3,38,Tuesday,September,false
2008-09-17,20080917,2008,9,17,4,3,38,Wednesday,September,false
2008-09-18,20080918,2008,9,18,5,3,38,Thursday,September,false
2008-09-19,20080919,2008,9,19,6,3,38,Friday,September,false
2008-09-20,20080920,2008,9,20,7,3,38,Saturday,September,true
2008-09-21,20080921,2008,9,21,1,3,38,Sunday,September,true
2008-09-22,20080922,2008,9,22,2,3,39,Monday,September,false
2008-09-23,20080923,2008,9,23,3,3,39,Tuesday,September,false
2008-09-24,20080924,2008,9,24,4,3,39,Wednesday,September,false
2008-09-25,20080925,2008,9,25,5,3,39,Thursday,September,false
2008-09-26,20080926,2008,9,26,6,3,39,Friday,September,false
2008-09-27,20080927,2008,9,27,7,3,39,Saturday,September,true
2008-09-28,20080928,2008,9,28,1,3,39,Sunday,September,true
2008-09-29,20080929,2008,9,29,2,3,40,Monday,September,false
2008-09-30,20080930,2008,9,30,3,3,40,Tuesday,September,false
2008-10-01,20081001,2008,10,1,4,4,40,Wednesday,October,false
2008-10-02,20081002,2008,10,2,5,4,40,Thursday,October,false
2008-10-03,20081003,2008,10,3,6,4,40,Friday,October,false
2008-10-04,20081004,2008,10,4,7,4,40,Saturday,October,true
2008-10-05,20081005,2008,10,5,1,4,40,Sunday,October,true
2008-10-06,20081006,2008,10,6,2,4,41,Monday,October,false
2008-10-07,20081007,2008,10,7,3,4,41,Tuesday,October,false
2008-10-08,20081008,2008,10,8,4,4,41,Wednesday,October,false
2008-10-09,20081009,2008,10,9,5,4,41,Thursday,October,false
2008-10-10,20081010,2008,10,10,6,4,41,Friday,October,false
2008-10-11,20081011,2008,10,11,7,4,41,Saturday,October,true
2008-10-12,20081012,2008,10,12,1,4,41,Sunday,October,true
2008-10-13,20081013,2008,10,13,2,4,42,Monday,October,false
2008-10-14,20081014,2008,10,14,3,4,42,Tuesday,October,false
2008-10-15,20081015,2008,10,15,4,4,42,Wednesday,October,false
2008-10-16,20081016,2008,10,16,5,4,42,Thursday,October,false
2008-10-17,20081017,2008,10,17,6,4,42,Friday,October,false
2008-10-18,20081018,2008,10,18,7,4,42,Saturday,October,true
2008-10-19,20081019,2008,10,19,1,4,42,Sunday,October,true
2008-10-20,20081020,2008,10,20,2,4,43,Monday,October,false
2008-10-21,20081021,2008,10,21,3,4,43,Tuesday,October,false
2008-10-22,20081022,2008,10,22,4,4,43,Wednesday,October,false
2008-10-23,20081023,2008,10,23,5,4,43,Thursday,October,false
2008-10-24,20081024,2008,10,24,6,4,43,Friday,October,false
2008-10-25,20081025,2008,10,25,7,4,43,Saturday,October,true
2008-10-26,20081026,2008,10,26,1,4,43,Sunday,October,true
2008-10-27,20081027,2008,10,27,2,4,44,Monday,October,false
2008-10-28,20081028,2008,10,28,3,4,44,Tuesday,October,false
2008-10-29,20081029,2008,10,29,4,4,44,Wednesday,October,false
2008-10-30,20081030,2008,10,30,5,4,44,Thursday,October,false
2008-10-31,20081031,2008,10,31,6,4,44,Friday,October,false
2008-11-01,20081101,2008,11,1,7,4,44,Saturday,November,true
2008-11-02,20081102,2008,11,2,1,4,44,Sunday,November,true
2008-11-03,20081103,2008,11,3,2,4,45,Monday,November,false
2008-11-04,20081104,2008,11,4,3,4,45,Tuesday,November,false
2008-11-05,20081105,2008,11,5,4,4,45,Wednesday,November,false
2008-11-06,20081106,2008,11,6,5,4,45,Thursday,November,false
2008-11-07,20081107,2008,11,7,6,4,45,Friday,November,false
