Date,DateKey,Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,DayName,MonthName,IsWeekend
2012-07-12,20120712,2012,7,12,5,3,28,Thursday,July,false
2012-07-13,20120713,2012,7,13,6,3,28,Friday,July,false
2012-07-14,20120714,2012,7,14,7,3,28,Saturday,July,true
2012-07-15,20120715,2012,7,15,1,3,28,Sunday,July,true
2012-07-16,20120716,2012,7,16,2,3,29,Monday,July,false
2012-07-17,20120717,2012,7,17,3,3,29,Tuesday,July,false
2012-07-18,20120718,2012,7,18,4,3,29,Wednesday,July,false
2012-07-19,20120719,2012,7,19,5,3,29,Thursday,July,false
2012-07-20,20120720,2012,7,20,6,3,29,Friday,July,false
2012-07-21,20120721,2012,7,21,7,3,29,Saturday,July,true
2012-07-22,20120722,2012,7,22,1,3,29,Sunday,July,true
2012-07-23,20120723,2012,7,23,2,3,30,Monday,July,false
2012-07-24,20120724,2012,7,24,3,3,30,Tuesday,July,false
2012-07-25,20120725,2012,7,25,4,3,30,Wednesday,July,false
2012-07-26,20120726,2012,7,26,5,3,30,Thursday,July,false
2012-07-27,20120727,2012,7,27,6,3,30,Friday,July,false
2012-07-28,20120728,2012,7,28,7,3,30,Saturday,July,true
2012-07-29,20120729,2012,7,29,1,3,30,Sunday,July,true
2012-07-30,20120730,2012,7,30,2,3,31,Monday,July,false
2012-07-31,20120731,2012,7,31,3,3,31,Tuesday,July,false
2012-08-01,20120801,2012,8,1,4,3,31,Wednesday,August,false
2012-08-02,20120802,2012,8,2,5,3,31,Thursday,August,false
2012-08-03,20120803,2012,8,3,6,3,31,Friday,August,false
2012-08-04,20120804,2012,8,4,7,3,31,Saturday,August,true
2012-08-05,20120805,2012,8,5,1,3,31,Sunday,August,true
2012-08-06,20120806,2012,8,6,2,3,32,Monday,August,false
2012-08-07,20120807,2012,8,7,3,3,32,Tuesday,August,false
2012-08-08,20120808,2012,8,8,4,3,32,Wednesday,August,false
2012-08-09,20120809,2012,8,9,5,3,32,Thursday,August,false
2012-08-10,20120810,2012,8,10,6,3,32,Friday,August,false
2012-08-11,20120811,2012,8,11,7,3,32,Saturday,August,true
2012-08-12,20120812,2012,8,12,1,3,32,Sunday,August,true
2012-08-13,20120813,2012,8,13,2,3,33,Monday,August,false
2012-08-14,20120814,2012,8,14,3,3,33,Tuesday,August,false
2012-08-15,20120815,2012,8,15,4,3,33,Wednesday,August,false
2012-08-16,20120816,2012,8,16,5,3,33,Thursday,August,false
2012-08-17,20120817,2012,8,17,6,3,33,Friday,August,false
2012-08-18,20120818,2012,8,18,7,3,33,Saturday,August,true
2012-08-19,20120819,2012,8,19,1,3,33,Sunday,August,true
2012-08-20,20120820,2012,8,20,2,3,34,Monday,August,false
2012-08-21,20120821,2012,8,21,3,3,34,Tuesday,August,false
2012-08-22,20120822,2012,8,22,4,3,34,Wednesday,August,false
2012-08-23,20120823,2012,8,23,5,3,34,Thursday,August,false
2012-08-24,20120824,2012,8,24,6,3,34,Friday,August,false
2012-08-25,20120825,2012,8,25,7,3,34,Saturday,August,true
2012-08-26,20120826,2012,8,26,1,3,34,Sunday,August,true
2012-08-27,20120827,2012,8,27,2,3,35,Monday,August,false
2012-08-28,20120828,2012,8,28,3,3,35,Tuesday,August,false
2012-08-29,20120829,2012,8,29,4,3,35,Wednesday,August,false
2012-08-30,20120830,2012,8,30,5,3,35,Thursday,August,false
2012-08-31,20120831,2012,8,31,6,3,35,Friday,August,false
2012-09-01,20120901,2012,9,1,7,3,35,Saturday,September,true
2012-09-02,20120902,2012,9,2,1,3,35,Sunday,September,true
2012-09-03,20120903,2012,9,3,2,3,36,Monday,September,false
2012-09-04,20120904,2012,9,4,3,3,36,Tuesday,September,false
2012-09-05,20120905,2012,9,5,4,3,36,Wednesday,September,false
2012-09-06,20120906,2012,9,6,5,3,36,Thursday,September,false
2012-09-07,20120907,2012,9,7,6,3,36,Friday,September,false
2012-09-08,20120908,2012,9,8,7,3,36,Saturday,September,true
2012-09-09,20120909,2012,9,9,1,3,36,Sunday,September,true
2012-09-10,20120910,2012,9,10,2,3,37,Monday,September,false
2012-09-11,20120911,2012,9,11,3,3,37,Tuesday,September,false
2012-09-12,20120912,2012,9,12,4,3,37,Wednesday,September,false
2012-09-13,20120913,2012,9,13,5,3,37,Thursday,September,false
2012-09-14,20120914,2012,9,14,6,3,37,Friday,September,false
2012-09-15,20120915,2012,9,15,7,3,37,Saturday,September,true
2012-09-16,20120916,2012,9,16,1,3,37,Sunday,September,true
2012-09-17,20120917,2012,9,17,2,3,38,Monday,September,false
2012-09-18,20120918,2012,9,18,3,3,38,Tuesday,September,false
2012-09-19,20120919,2012,9,19,4,3,38,Wednesday,September,false
2012-09-20,20120920,2012,9,20,5,3,38,Thursday,September,false
2012-09-21,20120921,2012,9,21,6,3,38,Friday,September,false
2012-09-22,20120922,2012,9,22,7,3,38,Saturday,September,true
2012-09-23,20120923,2012,9,23,1,3,38,Sunday,September,true
2012-09-24,20120924,2012,9,24,2,3,39,Monday,September,false
2012-09-25,20120925,2012,9,25,3,3,39,Tuesday,September,false
2012-09-26,20120926,2012,9,26,4,3,39,Wednesday,September,false
2012-09-27,20120927,2012,9,27,5,3,39,Thursday,September,false
2012-09-28,20120928,2012,9,28,6,3,39,Friday,September,false
2012-09-29,20120929,2012,9,29,7,3,39,Saturday,September,true
2012-09-30,20120930,2012,9,30,1,3,39,Sunday,September,true
2012-10-01,20121001,2012,10,1,2,4,40,Monday,October,false
2012-10-02,20121002,2012,10,2,3,4,40,Tuesday,October,false
2012-10-03,20121003,2012,10,3,4,4,40,Wednesday,October,false
2012-10-04,20121004,2012,10,4,5,4,40,Thursday,October,false
2012-10-05,20121005,2012,10,5,6,4,40,Friday,October,false
2012-10-06,20121006,2012,10,6,7,4,40,Saturday,October,true
2012-10-07,20121007,2012,10,7,1,4,40,Sunday,October,true
2012-10-08,20121008,2012,10,8,2,4,41,Monday,October,false
2012-10-09,20121009,2012,10,9,3,4,41,Tuesday,October,false
2012-10-10,20121010,2012,10,10,4,4,41,Wednesday,October,false
2012-10-11,20121011,2012,10,11,5,4,41,Thursday,October,false
2012-10-12,20121012,2012,10,12,6,4,41,Friday,October,false
2012-10-13,20121013,2012,10,13,7,4,41,Saturday,October,true
2012-10-14,20121014,2012,10,14,1,4,41,Sunday,October,true
2012-10-15,20121015,2012,10,15,2,4,42,Monday,October,false
2012-10-16,20121016,2012,10,16,3,4,42,Tuesday,October,false
2012-10-17,20121017,2012,10,17,4,4,42,Wednesday,October,false
2012-10-18,20121018,2012,10,18,5,4,42,Thursday,October,false
2012-10-19,20121019,2012,10,19,6,4,42,Friday,October,false
2012-10-20,20121020,2012,10,20,7,4,42,Saturday,October,true
2012-10-21,20121021,2012,10,21,1,4,42,Sunday,October,true
2012-10-22,20121022,2012,10,22,2,4,43,Monday,October,false
2012-10-23,20121023,2012,10,23,3,4,43,Tuesday,October,false
2012-10-24,20121024,2012,10,24,4,4,43,Wednesday,October,false
2012-10-25,20121025,2012,10,25,5,4,43,Thursday,October,false
2012-10-26,20121026,2012,10,26,6,4,43,Friday,October,false
2012-10-27,20121027,2012,10,27,7,4,43,Saturday,October,true
2012-10-28,20121028,2012,10,28,1,4,43,Sunday,October,true
2012-10-29,20121029,2012,10,29,2,4,44,Monday,October,false
2012-10-30,20121030,2012,10,30,3,4,44,Tuesday,October,false
2012-10-31,20121031,2012,10,31,4,4,44,Wednesday,October,false
2012-11-01,20121101,2012,11,1,5,4,44,Thursday,November,false
2012-11-02,20121102,2012,11,2,6,4,44,Friday,November,false
2012-11-03,20121103,2012,11,3,7,4,44,Saturday,November,true
2012-11-04,20121104,2012,11,4,1,4,44,Sunday,November,true
2012-11-05,20121105,2012,11,5,2,4,45,Monday,November,false
2012-11-06,20121106,2012,11,6,3,4,45,Tuesday,November,false
2012-11-07,20121107,2012,11,7,4,4,45,Wednesday,November,false
2012-11-08,20121108,2012,11,8,5,4,45,Thursday,November,false
2012-11-09,20121109,2012,11,9,6,4,45,Friday,November,false
2012-11-10,20121110,2012,11,10,7,4,45,Saturday,November,true
2012-11-11,20121111,2012,11,11,1,4,45,Sunday,November,true
2012-11-12,20121112,2012,11,12,2,4,46,Monday,November,false
2012-11-13,20121113,2012,11,13,3,4,46,Tuesday,November,false
2012-11-14,20121114,2012,11,14,4,4,46,Wednesday,November,false
2012-11-15,20121115,2012,11,15,5,4,46,Thursday,November,false
2012-11-16,20121116,2012,11,16,6,4,46,Friday,November,false
2012-11-17,20121117,2012,11,17,7,4,46,Saturday,November,true
2012-11-18,20121118,2012,11,18,1,4,46,Sunday,November,true
2012-11-19,20121119,2012,11,19,2,4,47,Monday,November,false
2012-11-20,20121120,2012,11,20,3,4,47,Tuesday,November,false
2012-11-21,20121121,2012,11,21,4,4,47,Wednesday,November,false
2012-11-22,20121122,2012,11,22,5,4,47,Thursday,November,false
